,TITLE,CATEGORY,flg
0,7 0 1884 1 7257 80 39 5462 4382 33,b,train
1,1438 869 7258 66 22 117 0 191,t,train
2,252 819 1564 6 709 0 0 3620 3621,m,train
3,31 28 771 94 1439 1230 1440 2670 1 60 590 1715 365 2,e,train
4,1231 1885 8 1231 1885 7259 591 674 58 0 0 2354,e,train
5,619 158 1 0 5463 5464 461 4 428 102,b,train
6,1441 496 1 0 161 272 918 19 1441 10 69,b,train
7,2114 919 118 4 310 990 6 12 3080 5465 620,b,train
8,7 0 1886 5466 820 10 1328 2671,b,train
9,3081 25 592 5467 13 132 444 25 2115 0 2355,e,train
10,322 514 1716 13 0 20 0 133 185,e,train
11,710 0 14 4383 0 2356 2116 7260 134 0 1887 7261 2,t,train
12,12 261 0 2357 18 19 171 2672 3622 29 1717,b,train
13,870 15 3623 5468 5469 59 1565 10 7262 5470 3624,b,train
14,772 3082 1 7263 1718 0 5 7264 4384 402,m,train
15,4385 14 0 0 1566 1719 0 26 0 2,e,train
16,300 162 1149 5 2358 1150 6 5471 1232 200 152,b,train
17,7 0 1 113 5472 4386 10 7265 59,b,train
18,245 0 5473 66 27 7266,t,train
19,0 0 0 0 3083 4 3625 0 3084 1151 18 14 7267 2,e,train
20,163 2673 3085 35 0 1 5474 94 5475 0 0 15 2,e,train
21,773 5476 0 675 0 18 0 621 4387,b,train
22,83 7268 5477 5478 2674 4388 0 7269 2675 36 2359,e,train
23,46 50 8 46 50 5479 1 3086 5 72 1888,e,train
24,429 445 515 1 7270 497 15 3626 18 31 28 15 60 1050 2,e,train
25,103 7271 290 26 774 146 871,b,train
26,1233 0 30 11 0 3627 15 0 9 1720,e,train
27,127 2360 1152 646 4 27 4389 6 14 0 5480 393 35 1721 711 2,e,train
28,0 0 9 3628 920 7272 712 1329 4 18 0 0,m,train
29,262 332 8 262 332 1442 462 22 1051 58 1722 821,e,train
30,1052 2361 27 124 872 263 1053 8 48 3087,b,train
31,0 712 0 429 445 515 1443 0 516 15 0 5 19 4390 2,e,train
32,2117 17 273 7273 0 5481 142 1330 1153 0,t,train
33,11 0 95 31 28 15 60 1050 7274 5482 2,e,train
34,7275 192 6 1889 291 0 1723 1444,b,train
35,11 366 7276 713 21 0 991 7277,b,train
36,7 0 1567 5 367 3629 6 3630 2362,b,train
37,127 0 1442 462 36 992 4391 3088 172 517 873,e,train
38,463 132 1331 3631 1 292 0 226 177 622,b,train
39,7278 1 342 2676 9 0 10 593 73,b,train
40,714 42 0 0 1234 3632 4 53 4392 191,b,train
41,7 7279 1724 14 715 7280 2677 3633 7281,b,train
42,4393 253 5483 5484 1235 4 178 5485 0,b,train
43,2678 7282 5486 16 1332 91 69 2679 352 0,e,train
44,874 13 0 91 3089 73 125 413 1725 21 3090 1726,t,train
45,368 481 13 135 61 921 5487 16 3634 17 147 0 72 2,e,train
46,64 76 83 1727 22 2118 0 13 875 5488 3091 1054,e,train
47,3092 2680 26 716 70 201,b,train
48,12 333 109 1 0 44 676 717 10 3093 1890,b,train
49,1236 922 8 1236 922 1154 171 7283,e,train
50,1155 21 343 876 3635 25 89 21 1445 0 0,e,train
51,3094 1891 1 7284 0 2681 5489 24 0 9 0 7285 227 2,m,train
52,12 464 2119 2363 113 3095 775 29 0 0 2682,t,train
53,0 0 0 623 22 2364 13 430 237 0 191,b,train
54,218 192 6 47 3636 822 0 1446 311 430,b,train
55,0 465 621 5 3096 3637 624,b,train
56,0 677 776 83 16 4394 431 1333 1447 3638,e,train
57,12 0 877 219 6 12 4395 179 3097,b,train
58,498 369 923 7286 1055 136 3639 13 334 0 536 0 106 2,e,train
59,283 482 8 283 482 159 126 1334 1448 1892 290,e,train
60,2683 3640 8 2683 3640 7287 22 4396 0 4397 2,e,train
61,5490 4398 565 5491 7288 25 709 0 0 3641 42,m,train
62,232 594 7289 20 3642 0 233 0 5492 293,b,train
63,2365 3643 518 9 7290 7291 4 70,b,train
64,238 78 219 6 678 5493 237 10 44 0,b,train
65,1156 1893 8 1156 1893 0 1157 32 7292 30 5494 446 2,e,train
66,95 13 873 160 37 1056 67 17 117 7293 16 186 993,t,train
67,0 924 536 2120 718 180 4399 679,b,train
68,274 0 4400,b,train
69,1728 7294 5495 2684 5 7295 323 3098 148 499,b,train
70,2121 2685 2122 2123 2124 1449 6 62 1894 43 4401 878 2,e,train
71,110 7296 33 7297 7298 9 3644 595 4402 0,b,train
72,7299 203 5496 4 7300 7301 0 1057,m,train
73,169 275 2366 13 647 7302 20 1568 0 466 30 0 2,e,train
74,132 0 1058 7303 17 11 719 36 90 3099 193,e,train
75,720 8 7304 0 994 173 5497 20 0 0,e,train
76,0 1 0 777 995 596 0 4 7305 1151 226 2,e,train
77,1237 1158 394 0 98 5498 2686 3645,b,train
78,1569 1450 1234 17 370 7306 21 7307 1059 42,b,train
79,378 2367 10 110 7308 6 12 721 5499 5500,b,train
80,1335 648 86 774 1 4403 0 4 0 2125 1449,b,train
81,0 0 0 519 4404 51 1159 379 1729 17 23 0 2,t,train
82,597 8 597 2368 224 0 0 344 36 2687,e,train
83,52 1895 996 0 15 2369 2370 3100 18 0 75 1896 35 2,e,train
84,1336 2688 2371 106 49 31 598 823 3646 7309 66 11 2,e,train
85,7 0 34 778 1 3101 447 5501 649 2372 99 8 520,t,train
86,2373 2374 26 3628 2375 0 521,b,train
87,1451 51 1570 2689 134 111 121 4405 566,b,train
88,5502 7310 1452 0 7311 284 3102 1730 7312 7313 2,e,train
89,0 1337 164 11 1571 5503 106 17 3647 20 2690 2376 2,e,train
90,27 77 9 1338 3648 2691 4 1897 9 2377 39 0 676 2,b,train
91,997 2378 3103 522 2126 3104 2379 20 1060 4406,e,train
92,128 2380 0 5504 680 20 0 5505,t,train
93,3105 2381 722 254 1339 1238 58 3649 7314,e,train
94,7315 2382 824 1898 5506 34 1899 54 879 723,b,train
95,7 2692 779 5507 59 4407 9 45 4 2383,b,train
96,715 5508 33 998 1061 1731 7316 5 880 448,b,train
97,4408 5509 18 0 7317 9 378 312,b,train
98,64 76 8 64 76 1900 2693 17 27 3106,e,train
99,95 14 12 4409 77 4410 5 5510 273 3650,b,train
100,81 2694 1732 4411 15 181 213 29 467 38 1733,b,train
101,5511 158 7318 18 66 1 0 73 29 449 4 125 413 102,b,train
102,7 3651 9 276 1 285 5512 59 1 724 925 292 403,b,train
103,60 56 25 31 28 4412 379 16 650 725 17 926 246,e,train
104,31 28 78 66 30 87 823 3646 3107 1340 7319 0,e,train
105,7 3108 7320 2695 1 0 599 7321 3109,t,train
106,194 42 47 1 161 228 4413 5513 10 404 125,b,train
107,1734 681 204 7322 178 590 179 0,b,train
108,7 0 2127 3652 4414 29 12 1062 7323,b,train
109,148 1150 3653 0 1 1341 0 7324 0,t,train
110,12 4415 57 63 0 4 187 264 29 255 0,b,train
111,7325 7326 31 28 121 19 0 371 4 651 2124 6 62 0 24 2,e,train
112,7 2696 780 86 165 2128 9 1901 4 523,b,train
113,7327 3110 1902 413 825 102 4 5514 600,t,train
114,129 139 224 1063 2129 139 0 1063 0 1064 623,e,train
115,3654 567 3111 468 106 1160 13 1735 117 3655 601 16 7328 1342,e,train
116,3656 3112 21 343 23 1903 7329 4416 483 519 91 0,e,train
117,484 7330 353 7331 395 1 4417 47 4418 7332,b,train
118,3113 5515 726 3657 1736 22 2697 30 20 14 172 517,e,train
119,265 1737 432 4419 174 1 5516 239 18 0,b,train
120,3658 4420 602 2384 10 1065 4421 1738,e,train
121,1904 1453 6 0 536 7333 311 1 0 240,b,train
122,5517 826 17 2385 21 603 2130 22 2131 119 9 3114,e,train
123,5518 1905 3115 354 10 5519 2132 3659,b,train
124,205 2133 301 7334 1739 5 5520 827 0,e,train
125,7 0 9 7335 166 3116 0 0 1572,m,train
